trial_id,looming_start_frame,looming_start_time,bhvr1,bhvr2,bhvr3,bhvr4,bhvr5
G1M4D3T2,17179,"2, 0:14:18.307871",,,,,
G1M4D3T3,19753,"3, 0:16:26.981214",,,,,
G1M4D3T4,22389,"4, 0:18:38.799253",,,,,
G1M4D3T5,27530,"5, 0:22:55.802281",,,,,
G1M4D3T6,31722,"6, 0:26:25.422936",,,,,
G1M4D3T7,33436,"7, 0:27:51.101390",,,,,
G1M4D3T8,35619,"8, 0:29:40.273425",,,,,
G1M4D3T9,37513,"9, 0:31:14.947377",,,,,
G1M4D3T10,40066,"10, 0:33:22.615288",,,,,
G1M4D3T11,44934,"11, 0:37:26.012702",,,,,
G1M4D3T12,47449,"12, 0:39:31.752801",,,,,
G1M4D4T1,13673,"1, 0:11:22.268397",,,,,
G1M4D4T2,17295,"2, 0:14:23.385290",,,,,
G1M4D4T3,20192,"3, 0:16:48.223683",,,,,
G1M4D4T4,22087,"4, 0:18:22.988188",,,,,
G1M4D4T5,30736,"5, 0:25:35.404241",,,,,
G1M4D4T6,33356,"6, 0:27:46.399009",,,,,
G1M4D4T7,37315,"7, 0:31:04.307732",,,,,
G1M4D4T8,40444,"8, 0:33:40.782654",,,,,
G1M4D5T1,14948,"1, 0:12:26.905660",,,,,
G1M4D5T2,18112,"2, 0:15:05.053118",,,,,
G1M4D5T3,23275,"3, 0:19:23.191769",,,,,
G1M4D5T4,25446,"4, 0:21:11.727676",,,,,
G1M4D5T5,30981,"5, 0:25:48.459075",,,,,
G1M4D5T6,47593,"6, 0:39:39.069816",,,,,
G1M5D1T1,12432,"1, 0:10:18.798555",,,,,
G1M5D1T2,14182,"2, 0:11:46.310577",,,,,
G1M5D1T3,15540,"3, 0:12:54.196501",,,,,
G1M5D1T4,22309,"4, 0:18:32.667395",,,,,
G1M5D1T5,24985,"5, 0:20:46.414056",,,,,
G1M5D1T6,35792,"6, 0:29:46.769386",,,,,
G1M5D1T7,38787,"7, 0:32:16.492817",,,,,
G1M5D2T1,12102,"1, 0:10:03.562961",,,,,
G1M5D2T2,16890,"2, 0:14:02.934019",,,,,
G1M5D2T3,21760,"3, 0:18:06.448437",,,,,
G1M5D2T4,29575,"4, 0:24:37.166475",,,,,
G1M5D2T5,31250,"5, 0:26:00.920304",,,,,
G1M5D2T6,33919,"6, 0:28:14.371148",,,,,
G1M5D2T7,36053,"7, 0:30:01.060330",,,,,
G1M5D2T8,38793,"8, 0:32:18.035521",,,,,
G1M5D3T1,14182,"1, 0:11:42.569763",,,,,
G1M5D3T2,16193,"2, 0:13:23.117000",,,,,
G1M5D3T3,19442,"3, 0:16:05.573904",,,,,
G1M5D3T4,31884,"4, 0:26:27.641194",,,,,
G1M5D3T5,33724,"5, 0:27:59.637900",,,,,
G1M5D3T6,37107,"6, 0:30:48.758674",,,,,
G1M5D3T7,41059,"7, 0:34:06.330042",,,,,
G1M5D3T8,42781,"8, 0:35:32.456317",,,,,
G1M5D4T1,14738,"1, 0:12:16.007970",,,,,
G1M5D4T2,17625,"2, 0:14:40.355780",,,,,
G1M5D4T3,21416,"3, 0:17:49.907800",,,,,
G1M5D4T4,35587,"4, 0:29:38.417323",,,,,
G1M5D4T5,38265,"5, 0:31:52.304845",,,,,
G1M5D4T6,41119,"6, 0:34:15.024052",,,,,
G1M5D5T1,16485,"1, 0:13:43.438564",,,,,
G1M5D5T2,26716,"2, 0:22:14.994041",,,,,
G1M5D5T3,28930,"3, 0:24:05.694176",,,,,
G1M5D5T4,33797,"4, 0:28:09.040029",,,,,
G1M5D5T5,36352,"5, 0:30:16.782023",,,,,
